BI00B32D1    DFTC2241       202208117114-5748-02             TERMINAL                 CCN000036000000036000FN00000000020221001000036000NNM   20220714121321    4P0P  00001200000000444000000737632D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117114-5753-02             TERMINAL                 CCN000162000000162000FN00000000020221001000162000NNM   20220714121321    4P0P  00002700000000847800001141432D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117116-1685-02             TERMINAL                 CCN000096000000096000FN00000000020221001000096000NNM   20220714121321    4P0P  00002400000000897600001065232D1    TOYOT-K 005100280028
BI00B32D1    DFTC2241       202208117116-2891-02             TERMINAL                 CCN000090000000090000FN00000000020221001000090000NNM   20220714121321    4P0P  00001500000000982500001145932D1    TOYOT-K 005100280028
BI00B32D1    DFTC2241       202208117116-4100-02             TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220714121321    4P0P  00001500000000696000000990232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117116-4101-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220714121321    4P0P  00001200000000582000000876232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117116-4110-02             TERMINAL                 CCN000054000000054000FN00000000020221001000054000NNM   20220714121321    4P0P  00000900000000594000000882232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117116-4111-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220714121321    4P0P  00000750000000529500000817732D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117116-4112-02             TERMINAL                 CCN000096000000096000FN00000000020221001000096000NNM   20220714121321    4P0P  00000600000000450000000738232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117116-4486-02             TERMINAL                 CCN000084000000084000FN00000000020221001000084000NNM   20220714121321    4P0P  00002800000000666400000995132D1    TOYOT-K 006400630017
BI00B32D1    DFTC2241       202208117116-5045-02             TERMINAL                 CCN000048000000048000FN00000000020221001000048000NNM   20220714121321    4P0P  00001600000000678400001007132D1    TOYOT-K 006400630017
BI00B32D1    DFTC2241       202208117126-8853-02             TERMINAL                 CCN000037500000037500FN00000000020221001000037500NNM   20220714121321    4P0P  00000750000000562500000847732D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117126-8854-02             TERMINAL                 CCN000075000000075000FN00000000020221001000075000NNM   20220714121321    4P0P  00000750000000604500000889732D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117126-8855-02             TERMINAL                 CCN000042000000042000FN00000000020221001000042000NNM   20220714121321    4P0P  00000600000000510600000795832D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020221001000040000NNM   20220714121321    1C0C  00004000000000276000000333332D1    TOYOT-K 002700430014
BI00B32D1    DFTC2241       202208117158-3166-60             WIRE SEAL                CCN000040000000040000FN00000000020221001000040000NNM   20220714121321    1C0C  00004000000000104000000152432D1    TOYOT-K 002700430014
BI00B32D1    DFTC2241       202208117158-3167-80             WIRE SEAL                CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    1C0C  00002000000000048000000109032D1    TOYOT-K 002700430014
BI00B32D1    DFTC2241       202208117196-0396-02             TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220714121321    4P0P  00001500000000949500001112932D1    TOYOT-K 002800510028
BI00B32D1    DFTC2241       202208117196-0510-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220714121321    4P0P  00002400000000871200001034632D1    TOYOT-K 002800510028
BI00B32D1    DFTC2241       202208117282-4576                HOUSING MALE ASS'Y       CCN000004800000004800FN00000000020221001000004800NNM   20220714121321    4N0N  00000240000000808800001028832D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117283-1156                CONNECTOR                CCN000000800000000800FN00000000020221001000000800NNM   20220714121321    4N0N  00000080000000877600001078032D1    TOYOT-K 005600390040
BI00B32D1    DFTC2241       202208117283-5830                CONNECTOR                CCN000006000000006000FN00000000020221001000006000NNM   20220714121321    1N47  00000600000000954000001104032D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117288-6547                CONNECTOR MALE ASS'Y     CCN000007500000007500FN00000000020221001000007500NNM   20220714121321    4N0N  00000075000001205300001340332D1    TOYOT-K 005400370024
BI00B32D1    DFTC2241       202208117289-3342                HOUSING FEMALE ASS'Y     CCN000021600000021600FN00000000020221001000021600NNM   20220714121321    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117289-3342-30             HOUSING FEMALE ASS'Y     CCN000040800000040800FN00000000020221001000040800NNM   20220714121321    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117289-3342-40             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221001000002400NNM   20220714121321    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221001000002400NNM   20220714121321    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117289-6547                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221001000004800NNM   20220714121321    1N0N  00000240000001152000001362032D1    TOYOT-K 005500360039
BI00B32D1    DFTC2241       202208117295-0785-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221001000025500NNM   20220714121321    4P0P  00002550000000510000000803632D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117296-0784-02             TERMINAL ALUMINIUM       CCN000024000000024000FN00000000020221001000024000NNM   20220714121321    4P0P  00002400000000480000000765232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2241       202208117327-6731-3W             BATTERY FUSE             CCN000000576000000576FN00000000020221001000000576NNM   20220714121321    4N0N  00000006400000697600000843032D1    TOYOT-K 005400370024
BI00B32D1    DFTC2241       202208117388-2978-30             HOUSING MALE ASS'Y       CCN000001440000001440FN00000000020221001000001440NNM   20220714121321    1N0N  00000048000000742000001122032D1    TOYOT-K 005500360039
BI00B32D1    #DFTC2241      202208117047-5344                RETAINER                 CCN000010000000010000FN00000000020221001000010000NNM   20220714121321    2F0F  00001000000000870000001016032D1    TOYOT-K 005600390023
BI00B32D1    #DFTC2241      202208117158-3003-90             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2C0C  00002000000000250000000306032D1    TOYOT-K 002700430014
BI00B32D1    #DFTC2241      202208117158-3004-40             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2C0C  00002000000000234000000306332D1    TOYOT-K 002700430014
BI00B32D1    #DFTC2241      202208117158-3005-80             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000210000000268732D1    TOYOT-K 002700430014
BI00B32D1    #DFTC2241      202208117158-3008-80             RUBBER STOPPER           CCN000040000000040000FN00000000020221001000040000NNM   20220714121321    2C0C  00002000000000288000000343032D1    TOYOT-K 004300270014
BI00B32D1    #DFTC2241      202208117158-3015-10             RUBBER STOPPER           CCN000010000000010000FN00000000020221001000010000NNM   20220714121321    2C0C  00001000000000419500000474032D1    TOYOT-K 002700430014
BI00B32D1    #DFTC2241      202208117158-3017                RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2C0C  00001000000000375500000435032D1    TOYOT-K 002700430014
BI00B32D1    #DFTC2241      202208117172-5629-80             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000060000000111132D1    TOYOT-K 004300270014
BI00B32D1    #DFTC2241      202208117172-5630-40             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000044000000095132D1    TOYOT-K 004300270014
BI00B32D1    #DFTC2241      202208117172-5632-10             DUMMY PLUG               CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000080400000131832D1    TOYOT-K 004300270014
BI00B32D1    #DFTC2241      202208117183-2415-90             CONNECTOR HOUSING        CCN000004800000004800FN00000000020221001000004800NNM   20220714121321    2F0F  00000480000000798200001091432D1    TOYOT-K 005500360039
BI00B32D1    #DFTC2241      202208117183-2418-30             CONNECTOR HOUSING        CCN000004800000004800FN00000000020221001000004800NNM   20220714121321    2F0F  00000480000000917000001235332D1    TOYOT-K 005500360039
BI00B32D1    #DFTC2241      202208117189-2978-30             HOUSING FEMALE           CCN000001500000001500FN00000000020221001000001500NNM   20220714121321    2F0F  00000150000000966900001096932D1    TOYOT-K 005400370024
BI00B32D1    #DFTC2241      202208117189-3033                HOUSING FEMALE           CCN000003200000003200FN00000000020221001000003200NNM   20220714121321    2F0F  00000160000001211200001431232D1    TOYOT-K 005500360039
BI00B32D1    #DFTC2241      202208117189-3036                HOUSING FEMALE           CCN000003200000003200FN00000000020221001000003200NNM   20220714121321    2F0F  00000160000000921600001141632D1    TOYOT-K 005500360039
BI00B32D1    #DFTC2241      202208117282-1641                CONNECTOR                CCN000002000000002000FN00000000020221001000002000NNM   20220714121321    2N0N  00000200000000813000000986032D1    TOYOT-K 005500360039
BI00B32D1    #DFTC2241      202208117289-3622-30             HOUSING FEMALE ASS'Y     CCN000000432000000432FN00000000020221001000000432NNM   20220714121321    2N0N  00000043200000839400001038432D1    TOYOT-K 005400370024
BI00B32D1    #DFTC2241      202208117289-4200-30             HOUSING FEMALE ASS'Y     CCN000002000000002000FN00000000020221001000002000NNM   20220714121321    2N0N  00000200000000926000001021032D1    TOYOT-K 005400370024
BI00B32D2    DGTC2241       202208117017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020221001000072000NNM   20220714121321    4P0P  00007200000001065600001229032D2    TGYOT-G 005100280028
BI00B32D2    DGTC2241       202208117017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020221001000063000NNM   20220714121321    4P0P  00006300000001089900001266832D2    TGYOT-G 005100280028
BI00B32D2    DGTC2241       202208117017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220714121321    4P0P  00004500000001165500001318632D2    TGYOT-G 005100280028
BI00B32D2    DGTC2241       202208117114-4032                TERMINAL                 CCN000075000000075000FN00000000020221001000075000NNM   20220714121321    4P0P  00000750000000735000001063632D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020221001000024000NNM   20220714121321    4P0P  00002400000000895200001188832D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117114-5748-02             TERMINAL                 CCN000108000000108000FN00000000020221001000108000NNM   20220714121321    4P0P  00001200000000444000000737632D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117114-5753-02             TERMINAL                 CCN000297000000297000FN00000000020221001000297000NNM   20220714121321    4P0P  00002700000000847800001141432D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117116-2891-02             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNM   20220714121321    4P0P  00001500000000982500001145932D2    TGYOT-G 005100280028
BI00B32D2    DGTC2241       202208117116-4486-02             TERMINAL                 CCN000308000000308000FN00000000020221001000308000NNM   20220714121321    4P0P  00002800000000666400000995132D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117116-5045-02             TERMINAL                 CCN000080000000080000FN00000000020221001000080000NNM   20220714121321    4P0P  00001600000000678400001007132D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117116-5046-02             TERMINAL                 CCN000180000000180000FN00000000020221001000180000NNM   20220714121321    4P0P  00001200000000544800000873532D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117116-6042                TERMINAL                 CCN000120000000120000FN00000000020221001000120000NNM   20220714121321    4P0P  00000300000000523800000856132D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117126-8853-02             TERMINAL                 CCN000225000000225000FN00000000020221001000225000NNM   20220714121321    4P0P  00000750000000562500000847732D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117126-8854-02             TERMINAL                 CCN000165000000165000FN00000000020221001000165000NNM   20220714121321    4P0P  00000750000000604500000889732D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117126-8855-02             TERMINAL                 CCN000258000000258000FN00000000020221001000258000NNM   20220714121321    4P0P  00000600000000510600000795832D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117158-3070-80             RUBBER STOPPER           CCN000120000000120000FN00000000020221001000120000NNM   20220714121321    1C0C  00004000000000276000000333332D2    TGYOT-G 002700430014
BI00B32D2    DGTC2241       202208117158-3166-60             WIRE SEAL                CCN000080000000080000FN00000000020221001000080000NNM   20220714121321    1C0C  00004000000000104000000152432D2    TGYOT-G 002700430014
BI00B32D2    DGTC2241       202208117158-3167-80             WIRE SEAL                CCN000142000000160000FN00000000020221001000160000NNM   20220714121321    1C0C  00002000000000048000000109032D2    TGYOT-G 002700430014
BI00B32D2    DGTC2241       202208117173-3291-40             LIF LEVER                CCN000021600000021600FN00000000020221001000021600NNM   20220714121321    1F0F  00000240000000867800001067832D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117196-0396-02             TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNM   20220714121321    4P0P  00001500000000949500001112932D2    TGYOT-G 002800510028
BI00B32D2    DGTC2241       202208117196-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020221001000022500NNM   20220714121321    4P0P  00002250000000558000000843232D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117196-1325-02             TERMINAL FEMALE          CCN000900000000900000FN00000000020221001000900000NNM   20220714121321    4P0P  00006000000000450000000778732D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117196-1326-02             TERMINAL FEMALE          CCN002100000002100000FN00000000020221001002100000NNM   20220714121321    4P0P  00006000000000456000000784732D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117196-1327-02             TERMINAL FEMALE          CCN000156000000156000FN00000000020221001000156000NNM   20220714121321    4P0P  00005200000000336000000739532D2    TGYOT-G 006400630017
BI00B32D2    DGTC2241       202208117283-1156                CONNECTOR                CCN000000800000000800FN00000000020221001000000800NNM   20220714121321    4N0N  00000080000000877600001078032D2    TGYOT-G 005600390040
BI00B32D2    DGTC2241       202208117283-1968-30             CONNECTOR                CCN000001800000001800FN00000000020221001000001800NNM   20220714121321    1N0N  00000090000001140000001318332D2    TGYOT-G 005600390040
BI00B32D2    DGTC2241       202208117288-6547                CONNECTOR MALE ASS'Y     CCN000000750000000750FN00000000020221001000000750NNM   20220714121321    4N0N  00000075000001205300001340332D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117289-3342                HOUSING FEMALE ASS'Y     CCN000134400000134400FN00000000020221001000134400NNM   20220714121321    1N0N  00000240000000686400000901432D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117289-3342-30             HOUSING FEMALE ASS'Y     CCN000040800000040800FN00000000020221001000040800NNM   20220714121321    1N0N  00000240000000686400000901432D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117289-3342-40             HOUSING FEMALE ASS'Y     CCN000045600000045600FN00000000020221001000045600NNM   20220714121321    1N0N  00000240000000686400000901432D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117289-3342-90             HOUSING FEMALE ASS'Y     CCN000050400000050400FN00000000020221001000050400NNM   20220714121321    1N0N  00000240000000686400000901432D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117289-6518-30             HOUSING FEMALE ASS'Y     CCN000021600000021600FN00000000020221001000021600NNM   20220714121321    1N0N  00000120000000829200001049232D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117296-0784-02             TERMINAL ALUMINIUM       CCN000168000000168000FN00000000020221001000168000NNM   20220714121321    4P0P  00002400000000480000000765232D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117296-1020-02             TERMINAL ALUMINIUM       CCN000022500000022500FN00000000020221001000022500NNM   20220714121321    4P0P  00002250000000699800000985032D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117296-1024-02             TERMINAL ALUMINIUM       CCN000036000000036000FN00000000020221001000036000NNM   20220714121321    4P0P  00001800000000698400000983632D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117296-1025-02             TERMINAL ALUMINIUM       CCN000018000000018000FN00000000020221001000018000NNM   20220714121321    4P0P  00001800000000635400000920632D2    TGYOT-G 006400630015
BI00B32D2    DGTC2241       202208117297-3482                JOINT CONNECTOR          CCN000045000000045600FN00000000020221001000045600NNM   20220714121321    4N0N  00000080000000621000000730532D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117298-3484                HOUSING FEMALE ASS'Y     CCN000033600000035100FN00000000020221001000035100NNM   20220714121321    4N0N  00000270000000742500001028732D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117298-3484-30             HOUSING FEMALE ASS'Y     CCN000010500000010800FN00000000020221001000010800NNM   20220714121321    4N0N  00000270000000742500001028732D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6801-3W             BATTERY FUSE             CCN000003360000003360FN00000000020221001000003360NNM   20220714121321    4N0N  00000009600000928400001143432D2    TGYOT-G 005500360039
BI00B32D2    DGTC2241       202208117327-6803                MULTI FUSE               CCN000001680000001680FN00000000020221001000001680NNM   20220714121321    4N0N  00000056000000854600001067032D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6806                MULTI FUSE               CCN000003360000003360FN00000000020221001000003360NNM   20220714121321    4N0N  00000056000000851500001063932D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6809                MULTI FUSE               CCN000013440000013440FN00000000020221001000013440NNM   20220714121321    4N0N  00000056000000849300001061732D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6930                MULTI FUSE               CCN000002240000002240FN00000000020221001000002240NNM   20220714121321    4N0N  00000056000000848900001031932D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6983-30             MAIN FUSE                CCN000001200000001200FN00000000020221001000001200NNM   20220714121321    4N0N  00000060000000748800000951532D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6985-30             MULTI FUSE               CCN000001440000001440FN00000000020221001000001440NNM   20220714121321    4N0N  00000028800000886100001052032D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6990-30             MULTI FUSE               CCN000001680000001680FN00000000020221001000001680NNM   20220714121321    4NON  00000056000000724000000907032D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117327-6998-30             MULTI FUSE               CCN000001440000001440FN00000000020221001000001440NNM   20220714121321    4N0N  00000028800000886000001051932D2    TGYOT-G 005400370024
BI00B32D2    DGTC2241       202208117388-2978-30             HOUSING MALE ASS'Y       CCN000037440000037440FN00000000020221001000037440NNM   20220714121321    1N0N  00000048000000742000001122032D2    TGYOT-G 005500360039
BI00B32D2    #DGTC2241      202208117158-3003-90             RUBBER STOPPER           CCN000400000000400000FN00000000020221001000400000NNM   20220714121321    2C0C  00002000000000250000000306032D2    TGYOT-G 002700430014
BI00B32D2    #DGTC2241      202208117158-3005-80             RUBBER STOPPER           CCN000040000000040000FN00000000020221001000040000NNM   20220714121321    2H0H  00002000000000210000000268732D2    TGYOT-G 002700430014
BI00B32D2    #DGTC2241      202208117158-3008-80             RUBBER STOPPER           CCN000160000000160000FN00000000020221001000160000NNM   20220714121321    2C0C  00002000000000288000000343032D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117158-3015-10             RUBBER STOPPER           CCN000040000000040000FN00000000020221001000040000NNM   20220714121321    2C0C  00001000000000419500000474032D2    TGYOT-G 002700430014
BI00B32D2    #DGTC2241      202208117158-3017                RUBBER STOPPER           CCN000040000000040000FN00000000020221001000040000NNM   20220714121321    2C0C  00001000000000375500000435032D2    TGYOT-G 002700430014
BI00B32D2    #DGTC2241      202208117158-3374-90             CONNECTOR WIRE SEAL      CCN000080000000080000FN00000000020221001000080000NNM   20220714121321    2H0H  00002000000000172000000229332D2    TGYOT-G 002700430014
BI00B32D2    #DGTC2241      202208117172-5625-90             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000082400000133832D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117172-5627-60             RUBBER STOPPER           CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000070400000121832D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117172-5628-80             DUMMY PLUG               CCN000020000000020000FN00000000020221001000020000NNM   20220714121321    2H0H  00002000000000110600000162032D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117172-5629-80             RUBBER STOPPER           CCN000740000000740000FN00000000020221001000740000NNM   20220714121321    2H0H  00002000000000060000000111132D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117172-5630-40             RUBBER STOPPER           CCN000500000000500000FN00000000020221001000500000NNM   20220714121321    2H0H  00002000000000044000000095132D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117172-5631-60             RUBBER STOPPER           CCN000200000000200000FN00000000020221001000200000NNM   20220714121321    2H0H  00002000000000042000000093132D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117172-5632-10             DUMMY PLUG               CCN000360000000360000FN00000000020221001000360000NNM   20220714121321    2H0H  00002000000000080400000131832D2    TGYOT-G 004300270014
BI00B32D2    #DGTC2241      202208117183-2511                HOUSING                  CCN000003200000003200FN00000000020221001000003200NNM   20220714121321    2F0F  00000160000000972200001242132D2    TGYOT-G 005500360039
BI00B32D2    #DGTC2241      202208117189-2978-30             HOUSING FEMALE           CCN000037500000037500FN00000000020221001000037500NNM   20220714121321    2F0F  00000150000000966900001096932D2    TGYOT-G 005400370024
BI00B32D2    #DGTC2241      202208117189-3033                HOUSING FEMALE           CCN000017600000017600FN00000000020221001000017600NNM   20220714121321    2F0F  00000160000001211200001431232D2    TGYOT-G 005500360039
BI00B32D2    #DGTC2241      202208117189-3036                HOUSING FEMALE           CCN000008000000008000FN00000000020221001000008000NNM   20220714121321    2F0F  00000160000000921600001141632D2    TGYOT-G 005500360039
