BI00B1200    7504T220927    202210207340-9316-0W             J/B ASS'Y                CCN000000100000000100FN00000000020221001000000100NNED0120220928122525    4J0J  0000000100000053400000072371200    YCYC    005400370024
BI00B1200    #7242T52A01    202211037187-3359-60             JOINT CONNECTOR          CCN000008400000008400FN00000000020221201000008400NNM   20220928140644    2F0F  0000012000000076320000103041200    YCYC    005600390040
BI00B1200    #7242T52A02    202211107187-3359-60             JOINT CONNECTOR          CCN000008400000008400FN00000000020221201000008400NNM   20220928140644    2F0F  0000012000000076320000103041200    YCYC    005600390040
BI00B1200    #7242T52A03    202211177187-3359-60             JOINT CONNECTOR          CCN000007200000007200FN00000000020221201000007200NNM   20220928140644    2F0F  0000012000000076320000103041200    YCYC    005600390040
BI00B1200    #7242T52A04    202211247187-3359-60             JOINT CONNECTOR          CCN000006000000006000FN00000000020221201000006000NNM   20220928140644    2F0F  0000012000000076320000103041200    YCYC    005600390040
BI00B1200    #7242T52A01    202211037187-3360                JOINT CONNECTOR          CCN000003600000003600FN00000000020221201000003600NNM   20220928140644    2F0F  0000012000000075960000102681200    YCYC    005600390040
BI00B1200    #7242T52A02    202211107187-3360                JOINT CONNECTOR          CCN000003600000003600FN00000000020221201000003600NNM   20220928140644    2F0F  0000012000000075960000102681200    YCYC    005600390040
BI00B1200    #7242T52A03    202211177187-3360                JOINT CONNECTOR          CCN000003600000003600FN00000000020221201000003600NNM   20220928140644    2F0F  0000012000000075960000102681200    YCYC    005600390040
BI00B1200    #7242T52A04    202211247187-3360                JOINT CONNECTOR          CCN000002400000002400FN00000000020221201000002400NNM   20220928140644    2F0F  0000012000000075960000102681200    YCYC    005600390040
BI00B1200    #7242T52A01    202211037289-2274-60             JOINT CONNECTOR          CCN000001200000001200FN00000000020221201000001200NNM   20220928140644    2N0N  0000012000000068280000094991200    YCYC    005600390040
BI00B1200    #7242T52A04    202211247289-2274-60             JOINT CONNECTOR          CCN000001200000001200FN00000000020221201000001200NNM   20220928140644    2N0N  0000012000000068280000094991200    YCYC    005600390040
BI00B1200    #7242T52A02    202211107154-3421                SPACER                   CCN000010000000010000FN00000000020221201000010000NNM   20220928140644    2F0F  0000100000000056000000078101200    YCYC    005500360039
BI00B1200    7360T52A01     202211037126-8892-02             FUSE TERMINAL            CCN000006000000006000FN00000000020221201000006000NNM   20220928140927    4P0P  0000060000000049500000078021200    YCYC    006400630015
BI00B1200    7360T52A01     202211037195-0783-08             TERMINAL                 CCN000030000000030000FN00000000020221201000030000NNM   20220928140927    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    7360T52A02     202211107195-0783-08             TERMINAL                 CCN000030000000030000FN00000000020221201000030000NNM   20220928140927    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    7360T52A01     202211037196-1103-02             TERMINAL                 CCN000427500000427500FN00000000020221201000427500NNM   20220928140927    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    7360T52A02     202211107196-1103-02             TERMINAL                 CCN000427500000427500FN00000000020221201000427500NNM   20220928140927    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    7360T52A03     202211177196-1103-02             TERMINAL                 CCN000405000000405000FN00000000020221201000405000NNM   20220928140927    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    7360T52A01     202211037196-1104-02             TERMINAL                 CCN000135000000135000FN00000000020221201000135000NNM   20220928140927    4P0P  0000225000000044100000072621200    YCYC    006400630015
BI00B1200    7360T52A02     202211107196-1104-02             TERMINAL                 CCN000135000000135000FN00000000020221201000135000NNM   20220928140927    4P0P  0000225000000044100000072621200    YCYC    006400630015
BI00B1200    7360T52A03     202211177196-1104-02             TERMINAL                 CCN000135000000135000FN00000000020221201000135000NNM   20220928140927    4P0P  0000225000000044100000072621200    YCYC    006400630015
BI00B1200    7360T52A01     202211037196-1327-02             TERMINAL FEMALE          CCN000052000000052000FN00000000020221201000052000NNM   20220928140927    4P0P  0000520000000033600000073951200    YCYC    006400630017
BI00B1200    7360T52A01     202211037196-1482-02             TERMINAL FEMALE          CCN000024000000024000FN00000000020221201000024000NNM   20220928140927    4P0P  0000240000000042480000071001200    YCYC    006400630015
BI00B1200    7360T52A01     202211037196-1934-02             TERMINAL FEMALE          CCN000019500000019500FN00000000020221201000019500NNM   20220928140927    4P0P  0000195000000056160000084681200    YCYC    006400630015
BI00B1200    7360T52A01     202211037196-1947-02             TERMINAL FEMALE          CCN000009000000009000FN00000000020221201000009000NNM   20220928140927    4POP  0000090000000040770000069291200    YCYC    006400630015
BI00B1200    7360T52A01     202211037288-3329-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00B1200    7360T52A02     202211107288-3329-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00B1200    7360T52A03     202211177288-3329-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086610000101111200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-3334-30             HOUSING MALE             CCN000003000000003000FN00000000020221201000003000NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A02     202211107288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020221201000001500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A03     202211177288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020221201000001500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A01     202211037288-3335-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A02     202211107288-3335-30             HOUSING MALE             CCN000004500000004500FN00000000020221201000004500NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    7360T52A03     202211177288-3335-30             HOUSING MALE             CCN000003000000003000FN00000000020221201000003000NNM   20220928140927    4N0N  0000015000000086700000101201200    YCYC    005400370024
