BI00B32H8    @2207AKMW      20220728181B32102Y9              AVSSCS 0.5FX2 DGY/P      CCN000000300000000300FY00000030020220701000000000NNE30 20220727143749    1W    00000030000002903000000000032H8    TYTYC   000000000000LG326001
BI00B32W4    4500197435     2022081618009604060              AVS 0.85 G               CCN000001000000001000FN00000000020220801000001000NNE   20220727101352W42 1W    00000100000001167700000000032W42   HJYHK-J 000000000000OM128008
BI00B32W4    4500197435     2022081618009604090              AVS 0.85 L               CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000100000001167700000000032W42   HJYHK-J 000000000000OM128009
BI00B32W4    4500197435     2022081618009604150              AVS 1.25 R               CCN000001600000001600FN00000000020220801000001600NNE   20220727101352W42 1W    00000080000001643000000000032W42   HJYHK-J 000000000000OM128010
BI00B32W4    4500197435     2022081618009604330              AVS 3 B                  CCN000002400000002400FN00000000020220801000002400NNE   20220727101352W42 1W    00000040000003831600000000032W42   HJYHK-J 000000000000OM128011
BI00B32W4    4500197435     2022081618009604357              AVS 3 R/Y                CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000040000003831600000000032W42   HJYHK-J 000000000000OM128012
BI00B32W4    4500197435     2022081618007703970              AVSS 0.5F Y              CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OM128001
BI00B32W4    4500197435     2022081618007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020220801000000800NNE   20220727101352W42 1W    00000080000001389000000000032W42   HJYHK-J 000000000000OM128002
BI00B32W4    4500197435     2022081618007704230              AVSS 2F B                CCN000002500000002500FN00000000020220801000002500NNE   20220727101352W42 1W    00000050000002126400000000032W42   HJYHK-J 000000000000OM128003
BI00B32W4    4500197435     2022081618007704250              AVSS 2F R                CCN000001000000001000FN00000000020220801000001000NNE   20220727101352W42 1W    00000050000002126400000000032W42   HJYHK-J 000000000000OM128004
BI00B32W4    4500197435     2022081618007704240              AVSS 2F W                CCN000001000000001000FN00000000020220801000001000NNE   20220727101352W42 1W    00000050000002126400000000032W42   HJYHK-J 000000000000OM128005
BI00B32W4    4500197435     2022081618018403730              CAVS 0.3 B               CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OM128013
BI00B32W4    4500197435     2022081618018403734              CAVS 0.3 B/W             CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OM128014
BI00B32W4    4500197435     2022081618018403790              CAVS 0.3 L               CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OM128015
BI00B32W4    4500197435     2022081618018403751              CAVS 0.3 O               CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OM128016
BI00B32W4    4500197435     2022081618018403776              CAVS 0.3 Y/G             CCN000002000000002000FN00000000020220801000002000NNE   20220727101352W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OM128017
BI00B32W4    4500197435     2022081618018403930              CAVS 0.5 B               CCN000009000000009000FN00000000020220801000009000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128018
BI00B32W4    4500197435     2022081618018403939              CAVS 0.5 B/L             CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128019
BI00B32W4    4500197435     2022081618018403934              CAVS 0.5 B/W             CCN000009000000009000FN00000000020220801000009000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128020
BI00B32W4    4500197435     2022081618018403980              CAVS 0.5 BR              CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128021
BI00B32W4    4500197435     2022081618018403984              CAVS 0.5 BR/W            CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128022
BI00B32W4    4500197435     2022081618018403987              CAVS 0.5 BR/Y            CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128023
BI00B32W4    4500197435     2022081618018403960              CAVS 0.5 G               CCN000006000000006000FN00000000020220801000006000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128024
BI00B32W4    4500197435     2022081618018403965              CAVS 0.5 G/R             CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128025
BI00B32W4    4500197435     2022081618018403964              CAVS 0.5 G/W             CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128026
BI00B32W4    4500197435     2022081618018403990              CAVS 0.5 L               CCN000004500000004500FN00000000020220801000004500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128027
BI00B32W4    4500197435     2022081618018403995              CAVS 0.5 L/R             CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128028
BI00B32W4    4500197435     2022081618018403994              CAVS 0.5 L/W             CCN000001500000001500FN00000000020220801000001500NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128029
BI00B32W4    4500197435     2022081618018403997              CAVS 0.5 L/Y             CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128030
BI00B32W4    4500197435     2022081618018403961              CAVS 0.5 LG              CCN000003000000003000FN00000000020220801000003000NNE   20220727101352W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OM128031
