BI00B32G9    22091TMW       202207291801W003952              IVSSH 0.5F P             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227047
BI00B32G9    22091TMW       202207291801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020220901000003600NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227045
BI00B32G9    22092TMW       202208051801W003960              IVSSH 0.5F G             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT327028
BI00B32G9    22091TMW       202207291801W003990              IVSSH 0.5F L             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227046
BI00B32G9    22092TMW       202208051801W003990              IVSSH 0.5F L             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT327029
BI00B32G9    22091TMW       202207291801W003991              IVSSH 0.5F SB            CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227049
BI00B32G9    22091TMW       202207291801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227050
BI00B32G9    22091TMW       202207291801W004060              IVSSH 0.75F G            CCN000002600000002600FN00000000020220901000002600NNM   20220705134925    1W    00000130000000882000000000032G9    TYTYC   000000000000LT227053
BI00B32G9    22092TMW       202208051801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220901000001300NNM   20220705134925    1W    00000130000000882000000000032G9    TYTYC   000000000000LT327030
BI00B32G9    22091TMW       202207291801W004070              IVSSH 0.75F Y            CCN000001300000001300FN00000000020220901000001300NNM   20220705134925    1W    00000130000000882000000000032G9    TYTYC   000000000000LT227054
BI00B32G9    22091TMW       202207291801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227055
BI00B32G9    22092TMW       202208051801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT327031
BI00B32G9    22091TMW       202207291801W006940              IVSSH 0.35F W            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227062
BI00B32G9    22091TMW       202207291801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227058
BI00B32G9    22091TMW       202207291801W006950              IVSSH 0.35F R            CCN000005000000005000FN00000000020220901000005000NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227060
BI00B32G9    22092TMW       202208051801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT327034
BI00B32G9    22091TMW       202207291801W006960              IVSSH 0.35F G            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227057
BI00B32G9    22092TMW       202208051801W006960              IVSSH 0.35F G            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT327032
BI00B32G9    22091TMW       202207291801W006970              IVSSH 0.35F Y            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227063
BI00B32G9    22092TMW       202208051801W006970              IVSSH 0.35F Y            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT327035
BI00B32G9    22091TMW       202207291801W006980              IVSSH 0.35F BR           CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227056
BI00B32G9    22091TMW       202207291801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227059
BI00B32G9    22092TMW       202208051801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT327033
BI00B32G9    22091TMW       202207291801W006992              IVSSH 0.35F V            CCN000002500000002500FN00000000020220901000002500NNM   20220705134925    1W    00000250000000452000000000032G9    TYTYC   000000000000LT227061
BI00B32G9    @22091TMW      20220729181E50004ZZ              AVSSCS-S 0.5FX1 DGY      CCN000000800000000800FN00000000020220901000000800NNM   20220705134924    1W    00000040000001909700000000032G9    TYTYC   000000000000LT227014
BI00B32G9    @22092TMW      20220805181E50004ZZ              AVSSCS-S 0.5FX1 DGY      CCN000000800000000800FN00000000020220901000000800NNM   20220705134924    1W    00000040000001909700000000032G9    TYTYC   000000000000LT327008
BI00B32H8    22093 MW       2022081118007703930              AVSS 0.5F B              CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427002
BI00B32H8    22092 MW       2022080518007703935              AVSS 0.5F B/R            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327002
BI00B32H8    22092 MW       2022080518007703937              AVSS 0.5F B/Y            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327003
BI00B32H8    22093 MW       2022081118007703937              AVSS 0.5F B/Y            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427003
BI00B32H8    22092 MW       2022080518007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327004
BI00B32H8    22093 MW       2022081118007703941              AVSS 0.5F GY             CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427005
BI00B32H8    22093 MW       2022081118007703943              AVSS 0.5F W/B            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427010
BI00B32H8    22092 MW       2022080518007703949              AVSS 0.5F W/L            CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327007
BI00B32H8    22092 MW       2022080518007703950              AVSS 0.5F R              CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327005
BI00B32H8    22093 MW       2022081118007703950              AVSS 0.5F R              CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427008
BI00B32H8    22093 MW       2022081118007703952              AVSS 0.5F P              CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427007
BI00B32H8    22092 MW       2022080518007703954              AVSS 0.5F R/W            CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327006
BI00B32H8    22093 MW       2022081118007703954              AVSS 0.5F R/W            CCN000003000000003000FN00000000020220901000003000NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427009
BI00B32H8    22093 MW       2022081118007703960              AVSS 0.5F G              CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM427004
BI00B32H8    22092 MW       2022080518007703970              AVSS 0.5F Y              CCN000001500000001500FN00000000020220901000001500NNM   20220705135828    1W    00000150000000674000000000032H8    TYTYC   000000000000LM327008
