BI00B1200    2399T52719     202208257289-6160-30             HOUSING FEMALE ASS'Y     CCN000000160000000160FY00000016020220901000000000NNM00020220826141244    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B32AF    JTB210K        202210077282-4855                HOUSING MALE ASS'Y       CCN000001200000001200FN00000000020221001000001200NNE   20220826132203    4N0N  00000120000001063200001283232AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077283-4576                HOUSING FEMALE ASS'Y     CCN000009600000009600FN00000000020221001000009600NNE   20220826132203    4N0N  00000480000000651300000871332AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077283-4855                CONNECTOR HOUSING        CCN000002400000002400FN00000000020221001000002400NNE   20220826132203    4N0N  00000240000001188400001400032AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077283-5845                CONNECTOR HOUSING        CCN000012000000012000FN00000000020221001000012000NNE   20220826132203    1N0N  00000600000000444000000606332AF    HBYHVTB 005400370024
BI00B32AF    JTB210K        202210077289-3342                HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020221001000007200NNE   20220826132203    1N0N  00000240000000686400000901432AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077289-3342-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020221001000016800NNE   20220826132203    1N0N  00000240000000686400000901432AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077298-2507-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020221001000001200NNE   20220826132203    4N0N  00000120000000713200000914532AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077298-2508-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221001000002400NNE   20220826132203    4N0N  00000120000000822000001005032AF    HBYHVTB 005500360039
BI00B32AF    JTB210K        202210077298-2509-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020221001000001200NNE   20220826132203    4N0N  00000120000000857500001062532AF    HBYHVTB 005500360039
BI00B32AF    #JTB210K       202210077172-5632-10             DUMMY PLUG               CCN000020000000020000FN00000000020221001000020000NNE   20220826132157    2H0H  00002000000000080400000131832AF    HBYHVTB 004300270014
BI00B32AF    #JTB210K       202210077183-2418-30             CONNECTOR HOUSING        CCN000004800000004800FN00000000020221001000004800NNE   20220826132157    2F0F  00000480000000917000001235332AF    HBYHVTB 005500360039
BI00B32AF    #JTB210K       202210077187-1616                HOUSING FEMALE           CCN000004000000004000FN00000000020221001000004000NNE   20220826132157    2F0F  00000400000001152000001262032AF    HBYHVTB 005500360039
BI00B32AF    #JTB210K       202210077189-3038-30             HOUSING                  CCN000001600000001600FN00000000020221001000001600NNE   20220826132157    2F0F  00000160000000921600001141632AF    HBYHVTB 005500360039
BI00B32AF    #JTB210K       202210077198-5394                HOUSING FEMALE           CCN000004800000004800FN00000000020221001000004800NNE   20220826132157    2F0F  00000480000000489700000688832AF    HBYHVTB 005500360039
BI00B32AF    #JTB210K       202210077297-1907-30             HOUSING MALE ASS'Y       CCN000001500000001500FN00000000020221001000001500NNE   20220826132157    2N0N  00000150000000451800000568032AF    HBYHVTB 005400370024
BI00B32AF    #JTB210K       202210077297-1911-30             HOUSING MALE ASS'Y       CCN000001000000001000FN00000000020221001000001000NNE   20220826132157    2N0N  00000100000000486900000600132AF    HBYHVTB 005400370024
BI00B32AF    JTB2112        202210217017-1180-02             TERMINAL                 CCN000216000000216000FN00000000020221101000216000NNM   20220826132514    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2113        202210287017-1180-02             TERMINAL                 CCN000288000000288000FN00000000020221101000288000NNM   20220826132514    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2114        202211047017-1180-02             TERMINAL                 CCN000288000000288000FN00000000020221101000288000NNM   20220826132514    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2113        202210287017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020221101000063000NNM   20220826132514    4P0P  00006300000001089900001266832AF    HBYHVTB 005100280028
BI00B32AF    JTB2112        202210217017-1182-02             TERMINAL                 CCN000090000000090000FN00000000020221101000090000NNM   20220826132514    4P0P  00004500000001165500001318632AF    HBYHVTB 005100280028
BI00B32AF    JTB2113        202210287017-1182-02             TERMINAL                 CCN000090000000090000FN00000000020221101000090000NNM   20220826132514    4P0P  00004500000001165500001318632AF    HBYHVTB 005100280028
BI00B32AF    JTB2114        202211047017-1182-02             TERMINAL                 CCN000090000000090000FN00000000020221101000090000NNM   20220826132514    4P0P  00004500000001165500001318632AF    HBYHVTB 005100280028
BI00B32AF    JTB2111        202210177114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020221101000024000NNM   20220826132514    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020221101000024000NNM   20220826132514    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020221101000024000NNM   20220826132514    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020221101000024000NNM   20220826132514    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-4020                TERMINAL                 CCN000084000000084000FN00000000020221101000084000NNM   20220826132514    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-4020                TERMINAL                 CCN000042000000042000FN00000000020221101000042000NNM   20220826132514    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-4020                TERMINAL                 CCN000063000000063000FN00000000020221101000063000NNM   20220826132514    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-4020                TERMINAL                 CCN000084000000084000FN00000000020221101000084000NNM   20220826132514    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2111        202210177114-4021                TERMINAL                 CCN000030000000030000FN00000000020221101000030000NNM   20220826132514    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2112        202210217114-4021                TERMINAL                 CCN000030000000030000FN00000000020221101000030000NNM   20220826132514    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2113        202210287114-4021                TERMINAL                 CCN000015000000015000FN00000000020221101000015000NNM   20220826132514    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-4021                TERMINAL                 CCN000030000000030000FN00000000020221101000030000NNM   20220826132514    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2114        202211047114-4030                TERMINAL                 CCN000010500000010500FN00000000020221101000010500NNM   20220826132514    4P0P  00001050000000926100001254732AF    HBYHVTB 006400630017
BI00B32AF    JTB2112        202210217114-4031                TERMINAL                 CCN000031500000031500FN00000000020221101000031500NNM   20220826132514    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2113        202210287114-4031                TERMINAL                 CCN000031500000031500FN00000000020221101000031500NNM   20220826132514    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2114        202211047114-4031                TERMINAL                 CCN000021000000021000FN00000000020221101000021000NNM   20220826132514    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2112        202210217114-4032                TERMINAL                 CCN000052500000052500FN00000000020221101000052500NNM   20220826132514    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
