BI00A32D9    C225A          202209021801W006980              IVSSH 0.35F BR           CCN000005000000005000FN00000000020220901000005000NNE   20220823151125    1W    00000250000000452000000000032D9    UEHESTO 000000000000HM328002
BI00B32W4    4500199038     2022101818018404070              CAVS 0.85 Y              CCN000016000000016000FN00000000020221001000016000NNE   20220823100129W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OA12A030
BI00B32W4    4500199038     2022101818018404080              CAVS 0.85 BR             CCN000007000000007000FN00000000020221001000007000NNE   20220823100129W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OA12A020
BI00B32W4    4500199038     2022101818018404091              CAVS 0.85 SB             CCN000008000000008000FN00000000020221001000008000NNE   20220823100129W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OA12A027
BI00B32W4    4500199038     2022101818018404092              CAVS 0.85 V              CCN000002000000002000FN00000000020221001000002000NNE   20220823100129W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OA12A028
BI00B32W4    4500199038     2022101818018404150              CAVS 1.25 R              CCN000001600000001600FN00000000020221001000001600NNE   20220823100129W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OA12A031
BI00B32W4    @4500199038    20221018181B32116Z6              AVSSCS 0.3FX2 DGY/V      CCN000000700000000700FN00000000020221001000000700NNE   20220823100128W41 1W    00000035000002276000000000032W41   HJYHK-J 000000000000OA12A001
BI00B32W4    4500199051     2022101118018403795              CAVS 0.3 L/R             CCN000002000000002000FN00000000020221001000002000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OY429001
BI00B32W4    4500199051     2022101118018404194              CAVS 1.25 L/W            CCN000000800000000800FN00000000020221001000000800NNE   20220823100130W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OY429002
BI00B32W4    4500199053     2022101818018403791              CAVS 0.3 SB              CCN000014000000014000FN00000000020221001000014000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A024
BI00B32W4    4500199053     2022101818018403740              CAVS 0.3 W               CCN000008000000008000FN00000000020221001000008000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A026
BI00B32W4    4500199053     2022101818018403730              CAVS 0.3 B               CCN000022000000022000FN00000000020221001000022000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A011
BI00B32W4    4500199053     2022101818018403750              CAVS 0.3 R               CCN000014000000014000FN00000000020221001000014000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A021
BI00B32W4    4500199053     2022101818018403752              CAVS 0.3 P               CCN000006000000006000FN00000000020221001000006000NNE   20220823100130W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB12A020
