BI00A1200    O022K50439     202209277288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FY00000288020221101000000000NNED0020220927154250    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    #2399T52A10    202211107174-1271-30             SEALED COVER             CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52A11    202211177174-1271-30             SEALED COVER             CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52A09    202211037174-1314-30             SEALED COVER             CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52A10    202211107174-1314-30             SEALED COVER             CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52A11    202211177174-1314-30             SEALED COVER             CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52A09    202211037174-1315-30             SEALED COVER             CCN000014400000014400FN00000000020221201000014400NNM   20220927121701    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52A10    202211107174-1315-30             SEALED COVER             CCN000014400000014400FN00000000020221201000014400NNM   20220927121701    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52A11    202211177174-1315-30             SEALED COVER             CCN000013600000013600FN00000000020221201000013600NNM   20220927121701    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52A12     202211247116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020221201000030000NNM   20220927121701    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52A12     202211247116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020221201000015000NNM   20220927121701    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52A12     202211247116-4112-02             TERMINAL                 CCN000060000000060000FN00000000020221201000060000NNM   20220927121701    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52A12     202211247158-3022-80             RUBBER STOPPER           CCN000080000000080000FN00000000020221201000080000NNM   20220927121701    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52A12     202211247172-5540-80             SEALED WIRE SEAL         CCN000220000000220000FN00000000020221201000220000NNM   20220927121701    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52A12     202211247173-3291-40             LIF LEVER                CCN000014400000014400FN00000000020221201000014400NNM   20220927121701    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020221201000003000NNM   20220927121701    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247154-5597-30             CASSETTE R/B             CCN000113600000113600FN00000000020221201000113600NNM   20220927121701    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247173-3225-10             LIF LEVER                CCN000034400000034400FN00000000020221201000034400NNM   20220927121701    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52A12    202211247174-1271-30             SEALED COVER             CCN000001280000001280FN00000000020221201000001280NNM   20220927121701    2F0F  0000003200000038370000050211200    YCYC    005500360039
