BI00A32N3    NBT210 E       20220901180D0203970              AVSSH 0.5F Y             CCN000001500000001500FN00000000020220901000001500NNE   20220831141422    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XE528001
BI00B32U5    @DW2044        20220930181AD2016ZZ              CIVUSAS-S 0.22X2 B       CCN000003000000003000FN00000000020221201000003000NNE   20220831132044U5  1W    00000050000001360800000000032U5    ASAMSD  000000000000AM229006
BI00B32U5    @DW2044        20220930181AD2017ZZ              CIVUSAS-S 0.22X3 B       CCN000001720000001720FN00000000020221201000001720NNE   20220831132044U5  1W    00000043000001678200000000032U5    ASAMSD  000000000000AM229007
BI00B32W4    4500199524     2022092018018403930              CAVS 0.5 B               CCN000025500000025500FN00000000020220901000025500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129026
BI00B32W4    4500199524     2022092018018403936              CAVS 0.5 B/G             CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129027
BI00B32W4    4500199524     2022092018018403939              CAVS 0.5 B/L             CCN000012000000012000FN00000000020220901000012000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129028
BI00B32W4    4500199524     2022092018018403934              CAVS 0.5 B/W             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129029
BI00B32W4    4500199524     2022092018018403980              CAVS 0.5 BR              CCN000012000000012000FN00000000020220901000012000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129030
BI00B32W4    4500199524     2022092018018403984              CAVS 0.5 BR/W            CCN000010500000010500FN00000000020220901000010500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129031
BI00B32W4    4500199524     2022092018018403960              CAVS 0.5 G               CCN000006000000006000FN00000000020220901000006000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129032
BI00B32W4    4500199524     2022092018018403964              CAVS 0.5 G/W             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129033
BI00B32W4    4500199524     2022092018018403990              CAVS 0.5 L               CCN000012000000012000FN00000000020220901000012000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129034
BI00B32W4    4500199524     2022092018018403995              CAVS 0.5 L/R             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129035
BI00B32W4    4500199524     2022092018018403994              CAVS 0.5 L/W             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129036
BI00B32W4    4500199524     2022092018018403997              CAVS 0.5 L/Y             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129037
BI00B32W4    4500199524     2022092018018403961              CAVS 0.5 LG              CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129038
BI00B32W4    4500199524     2022092018018403951              CAVS 0.5 O               CCN000004500000004500FN00000000020220901000004500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129039
BI00B32W4    4500199524     2022092018018403952              CAVS 0.5 P               CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129040
BI00B32W4    4500199524     2022092018018403950              CAVS 0.5 R               CCN000010500000010500FN00000000020220901000010500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129041
BI00B32W4    4500199524     2022092018018403956              CAVS 0.5 R/G             CCN000009000000009000FN00000000020220901000009000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129042
BI00B32W4    4500199524     2022092018018403954              CAVS 0.5 R/W             CCN000006000000006000FN00000000020220901000006000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129043
BI00B32W4    4500199524     2022092018018403957              CAVS 0.5 R/Y             CCN000006000000006000FN00000000020220901000006000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129044
BI00B32W4    4500199524     2022092018018403992              CAVS 0.5 V               CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129045
BI00B32W4    4500199524     2022092018018403940              CAVS 0.5 W               CCN000004500000004500FN00000000020220901000004500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129046
BI00B32W4    4500199524     2022092018018403943              CAVS 0.5 W/B             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129047
BI00B32W4    4500199524     2022092018018403949              CAVS 0.5 W/L             CCN000004500000004500FN00000000020220901000004500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129048
BI00B32W4    4500199524     2022092018018403945              CAVS 0.5 W/R             CCN000009000000009000FN00000000020220901000009000NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129049
BI00B32W4    4500199524     2022092018018403970              CAVS 0.5 Y               CCN000007500000007500FN00000000020220901000007500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129050
BI00B32W4    4500199524     2022092018018403975              CAVS 0.5 Y/R             CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129051
BI00B32W4    4500199524     2022092018018404130              CAVS 1.25 B              CCN000012000000012000FN00000000020220901000012000NNE   20220831084622W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OU129052
BI00B32W4    4500199524     2022092018018404160              CAVS 1.25 G              CCN000000800000000800FN00000000020220901000000800NNE   20220831084622W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OU129053
BI00B32W4    4500199524     2022092018018404150              CAVS 1.25 R              CCN000002400000002400FN00000000020220901000002400NNE   20220831084622W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OU129054
BI00B32W4    4500199545     2022092718018403791              CAVS 0.3 SB              CCN000004000000004000FN00000000020220901000004000NNE   20220831084623W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OO229005
BI00B32W4    4500199545     2022092718018403752              CAVS 0.3 P               CCN000002000000002000FN00000000020220901000002000NNE   20220831084623W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OO229004
BI00B32W4    4500199545     2022092718018403761              CAVS 0.3 LG              CCN000004000000004000FN00000000020220901000004000NNE   20220831084623W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OO229003
BI00B32W4    4500199545     2022092718018403741              CAVS 0.3 GY              CCN000004000000004000FN00000000020220901000004000NNE   20220831084623W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OO229002
BI00B32W4    4500199545     2022092718018403952              CAVS 0.5 P               CCN000001500000001500FN00000000020220901000001500NNE   20220831084623W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OO229007
BI00B32W4    4500199545     2022092718018403960              CAVS 0.5 G               CCN000001500000001500FN00000000020220901000001500NNE   20220831084623W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OO229006
BI00B32W4    4500199545     2022092718018403991              CAVS 0.5 SB              CCN000001500000001500FN00000000020220901000001500NNE   20220831084623W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OO229008
BI00B32W4    4500199545     2022092718018403992              CAVS 0.5 V               CCN000001500000001500FN00000000020220901000001500NNE   20220831084623W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OO229009
BI00B32W4    @4500199545    20220927181B0911641              CAVSAS 0.3X2 GY          CCN000000700000000700FN00000000020220901000000700NNE   20220831084621W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OO229001
