BI00B32G7    JW22114MMW     202211031801W003943              IVSSH 0.5F W/B           CCN000012600000012600FN00000000020221101000012600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM32A040
BI00B32G7    JW22112MMW     202210201801W003950              IVSSH 0.5F R             CCN000007200000007200FN00000000020221101000007200NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM12A037
BI00B32G7    JW22113MMW     202210271801W003950              IVSSH 0.5F R             CCN000012600000012600FN00000000020221101000012600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM22A035
BI00B32G7    JW22114MMW     202211031801W003950              IVSSH 0.5F R             CCN000012600000012600FN00000000020221101000012600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM32A038
BI00B32G7    JW22111MMW     202210121801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020221101000003600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM429033
BI00B32G7    JW22112MMW     202210201801W003960              IVSSH 0.5F G             CCN000001800000001800FN00000000020221101000001800NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM12A035
BI00B32G7    JW22113MMW     202210271801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020221101000003600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM22A033
BI00B32G7    JW22114MMW     202211031801W003960              IVSSH 0.5F G             CCN000001800000001800FN00000000020221101000001800NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM32A036
BI00B32G7    JW22111MMW     202210121801W003990              IVSSH 0.5F L             CCN000043200000043200FN00000000020221101000043200NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM429034
BI00B32G7    JW22112MMW     202210201801W003990              IVSSH 0.5F L             CCN000034200000034200FN00000000020221101000034200NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM12A036
BI00B32G7    JW22113MMW     202210271801W003990              IVSSH 0.5F L             CCN000036000000036000FN00000000020221101000036000NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM22A034
BI00B32G7    JW22114MMW     202211031801W003990              IVSSH 0.5F L             CCN000036000000036000FN00000000020221101000036000NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM32A037
BI00B32G7    JW22111MMW     202210121801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020221101000002600NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM429036
BI00B32G7    JW22112MMW     202210201801W004030              IVSSH 0.75F B            CCN000005200000005200FN00000000020221101000005200NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM12A040
BI00B32G7    JW22113MMW     202210271801W004030              IVSSH 0.75F B            CCN000005200000005200FN00000000020221101000005200NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM22A038
BI00B32G7    JW22114MMW     202211031801W004030              IVSSH 0.75F B            CCN000005200000005200FN00000000020221101000005200NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM32A041
BI00B32G7    JW22112MMW     202210201801W004050              IVSSH 0.75F R            CCN000003900000003900FN00000000020221101000003900NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM12A041
BI00B32G7    JW22113MMW     202210271801W004050              IVSSH 0.75F R            CCN000009100000009100FN00000000020221101000009100NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM22A039
BI00B32G7    JW22114MMW     202211031801W004050              IVSSH 0.75F R            CCN000002600000002600FN00000000020221101000002600NNM   20220906140343    1W    00000130000000882000000000032G7    JIJAI   000000000000JM32A042
