BI00B1200    #2399T52911    202210207174-1271-30             SEALED COVER             CCN000000640000000640FN00000000020221101000000640NNM   20220825122421    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52909    202210067174-1314-30             SEALED COVER             CCN000013600000013600FN00000000020221101000013600NNM   20220825122421    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52910    202210067174-1314-30             SEALED COVER             CCN000012800000012800FN00000000020221101000012800NNM   20220825122421    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52911    202210207174-1314-30             SEALED COVER             CCN000012800000012800FN00000000020221101000012800NNM   20220825122421    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52909    202210067174-1315-30             SEALED COVER             CCN000006400000006400FN00000000020221101000006400NNM   20220825122421    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52910    202210067174-1315-30             SEALED COVER             CCN000006400000006400FN00000000020221101000006400NNM   20220825122421    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52911    202210207174-1315-30             SEALED COVER             CCN000005600000005600FN00000000020221101000005600NNM   20220825122421    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52912     202210277116-4100-02             TERMINAL                 CCN000225000000225000FN00000000020221101000225000NNM   20220825122421    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52912     202210277116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221101000007500NNM   20220825122421    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52912     202210277158-3022-80             RUBBER STOPPER           CCN000065000000065000FN00000000020221101000065000NNM   20220825122421    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52912     202210277172-5540-80             SEALED WIRE SEAL         CCN000440000000440000FN00000000020221101000440000NNM   20220825122421    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52912     202210277173-3291-40             LIF LEVER                CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52912    202210277173-3225-10             LIF LEVER                CCN000020800000020800FN00000000020221101000020800NNM   20220825122421    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52912    202210277174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020221101000000800NNM   20220825122421    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52912    202210277174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020221101000000320NNM   20220825122421    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52912    202210277174-1314-30             SEALED COVER             CCN000012800000012800FN00000000020221101000012800NNM   20220825122421    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52912    202210277174-1315-30             SEALED COVER             CCN000005600000005600FN00000000020221101000005600NNM   20220825122421    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52913     202210067195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221101000025500NNM   20220825122421    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52914     202210067195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221101000025500NNM   20220825122421    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52915     202210207195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221101000025500NNM   20220825122421    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52913     202210067195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221101000060000NNM   20220825122421    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52914     202210067195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221101000060000NNM   20220825122421    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52915     202210207195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020221101000060000NNM   20220825122421    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52913     202210067196-0549-02             TERMINAL ALUMINIUM       CCN000076000000076000FN00000000020221101000076000NNM   20220825122421    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52914     202210067196-0549-02             TERMINAL ALUMINIUM       CCN000076000000076000FN00000000020221101000076000NNM   20220825122421    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52915     202210207196-0549-02             TERMINAL ALUMINIUM       CCN000076000000076000FN00000000020221101000076000NNM   20220825122421    4P0P  0000380000000059280000097921200    YCYC    006400630017
