BI00B32D9    C24511         202210201801W003950              IVSSH 0.5F R             CCN000064800000064800FN00000000020221101000064800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A021
BI00B32D9    C24611         202210271801W003950              IVSSH 0.5F R             CCN000075600000075600FN00000000020221101000075600NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A027
BI00B32D9    C24311         202210061801W003952              IVSSH 0.5F P             CCN000007200000007200FN00000000020221101000007200NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT329008
BI00B32D9    C24411         202210121801W003952              IVSSH 0.5F P             CCN000005400000005400FN00000000020221101000005400NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT429016
BI00B32D9    C24511         202210201801W003952              IVSSH 0.5F P             CCN000009000000009000FN00000000020221101000009000NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A020
BI00B32D9    C24611         202210271801W003952              IVSSH 0.5F P             CCN000019800000019800FN00000000020221101000019800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A026
BI00B32D9    C24311         202210061801W003960              IVSSH 0.5F G             CCN000023400000023400FN00000000020221101000023400NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT329005
BI00B32D9    C24411         202210121801W003960              IVSSH 0.5F G             CCN000066600000066600FN00000000020221101000066600NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT429012
BI00B32D9    C24511         202210201801W003960              IVSSH 0.5F G             CCN000054000000054000FN00000000020221101000054000NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A016
BI00B32D9    C24611         202210271801W003960              IVSSH 0.5F G             CCN000063000000063000FN00000000020221101000063000NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A022
BI00B32D9    C24311         202210061801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020221101000003600NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT329007
BI00B32D9    C24411         202210121801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020221101000003600NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT429015
BI00B32D9    C24511         202210201801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020221101000003600NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A019
BI00B32D9    C24611         202210271801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020221101000003600NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A025
BI00B32D9    C24411         202210121801W003970              IVSSH 0.5F Y             CCN000025200000025200FN00000000020221101000025200NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT429020
BI00B32D9    C24511         202210201801W003970              IVSSH 0.5F Y             CCN000028800000028800FN00000000020221101000028800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A024
BI00B32D9    C24611         202210271801W003970              IVSSH 0.5F Y             CCN000032400000032400FN00000000020221101000032400NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A031
BI00B32D9    C24311         202210061801W003980              IVSSH 0.5F BR            CCN000001800000001800FN00000000020221101000001800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT329004
BI00B32D9    C24411         202210121801W003980              IVSSH 0.5F BR            CCN000010800000010800FN00000000020221101000010800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT429011
BI00B32D9    C24511         202210201801W003980              IVSSH 0.5F BR            CCN000014400000014400FN00000000020221101000014400NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A015
BI00B32D9    C24611         202210271801W003980              IVSSH 0.5F BR            CCN000016200000016200FN00000000020221101000016200NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A021
BI00B32D9    C24311         202210061801W003990              IVSSH 0.5F L             CCN000045000000045000FN00000000020221101000045000NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT329006
BI00B32D9    C24411         202210121801W003990              IVSSH 0.5F L             CCN000009000000009000FN00000000020221101000009000NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT429014
BI00B32D9    C24511         202210201801W003990              IVSSH 0.5F L             CCN000037800000037800FN00000000020221101000037800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT12A018
BI00B32D9    C24611         202210271801W003990              IVSSH 0.5F L             CCN000043200000043200FN00000000020221101000043200NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A024
BI00B32D9    C24611         202210271801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020221101000001800NNM   20220902141135    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT22A028
BI00B32D9    C24411         202210121801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020221101000002600NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT429021
BI00B32D9    C24511         202210201801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020221101000002600NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT12A025
BI00B32D9    C24611         202210271801W004030              IVSSH 0.75F B            CCN000005200000005200FN00000000020221101000005200NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT22A032
BI00B32D9    C24511         202210201801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020221101000001300NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT12A030
BI00B32D9    C24611         202210271801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020221101000001300NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT22A037
BI00B32D9    C24411         202210121801W004050              IVSSH 0.75F R            CCN000001300000001300FN00000000020221101000001300NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT429025
BI00B32D9    C24511         202210201801W004050              IVSSH 0.75F R            CCN000005200000005200FN00000000020221101000005200NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT12A029
BI00B32D9    C24611         202210271801W004050              IVSSH 0.75F R            CCN000005200000005200FN00000000020221101000005200NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT22A036
BI00B32D9    C24411         202210121801W004052              IVSSH 0.75F P            CCN000003900000003900FN00000000020221101000003900NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT429024
BI00B32D9    C24511         202210201801W004052              IVSSH 0.75F P            CCN000003900000003900FN00000000020221101000003900NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT12A028
BI00B32D9    C24611         202210271801W004052              IVSSH 0.75F P            CCN000003900000003900FN00000000020221101000003900NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT22A035
BI00B32D9    C24511         202210201801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020221101000001300NNM   20220902141135    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT12A027
