"00566",NESC,INJ,"32W4","32W446",N,-
"00566",NESC,INJ,"32W4","32W4K8",N,-
"00534",DOM,INJ,"32W9","32W9",N,-
"00534",DOM,INJ,"32W9","32W93",N,-
"00534",DOM,INJ,"32Q8","32Q8",N,-
"00534",DOM,INJ,"32D2","32D2",N,-
"00523",COM,INJ,"32R7","32R7",N,-
"00566",COM,INJ,"32EJ","32EJ",N,-
"00566",COM,INJ,"32W4","32W480",N,-
"00566",COM,INJ,"32W4","32W414",N,-
"00566",COM,INJ,"32W4","32W459",N,-
"00566",COM,INJ,"32W4","32W446",N,-
"00566",COM,INJ,"32W4","32W4O2",N,-
"00566",COM,INJ,"32W4","32W41",N,-
"00566",COM,INJ,"32W4","32W4H3",N,-
"00566",COM,INJ,"32W4","32W4L6",N,-
"00566",COM,INJ,"32W4","32W4Q2",N,-
"00566",COM,INJ,"32W4","32W4M9",N,-
"00566",COM,INJ,"32W4","32W420",N,-
"00534",ICAM,INJ,"32W9","32W93",N,-
"00534",ICAM,INJ,"32Q8","32Q8",N,-
"00534",ICAM,INJ,"32DE","32DE",N,-
"00523",ICAM,INJ,"32W2","32W2",E,NHW
"00523",ICAM,INJ,"32W2","32W2",E,HMW
"00523",ICAM,INJ,"32P8","32P8",N,-
"00523",ICAM,INJ,"32G2","32G2",N,-
"00523",ICAM,INJ,"32CJ","32CJ",F,@JTK
"00523",ICAM,INJ,"32H7","32H7",E,DMW
"00523",ICAM,INJ,"32H7","32H7",E,TMW
"00566",ICAM,INJ,"32W4","32W416",N,-
"00566",ICAM,INJ,"32W4","32W451",N,-
"00534",NESC,INJ,"32G0","32G0",S,-
"00534",NESC,INJ,"32Q8","32Q8",N,-
"00534",NESC,INJ,"32M8","32M8",N,-
"00534",NESC,INJ,"32Y8","32Y8",N,-
"00534",NESC,INJ,"32BG","32BG",S,-
"00534",NESC,INJ,"32M4","32M4",N,-
"00534",NESC,INJ,"32M1","32M1",N,-
"00523",NESC,INJ,"32G2","32G2",N,-
"00523",NESC,INJ,"32A7","32A7",N,-
"00523",NESC,INJ,"32Y2","32Y2",N,-
"00523",NESC,INJ,"32N1","32N1",F,#NST
"00523",NESC,INJ,"32N3","32N3",N,-
"00523",NESC,INJ,"32CJ","32CJ",F,#JQN
"00523",NESC,INJ,"32AF","32AF",F,#JTB
"00523",NESC,INJ,"32AF","32AF",F,#TIK
"00523",NESC,INJ,"32U5","32U5",N,-
"00523",NESC,INJ,"32H7","32H7",E,CMW
"00523",NESC,INJ,"32R7","32R7",N,-
"00566",NESC,INJ,"32W4","32W480",N,-
"00523",COM,INJ,"32Y5","32Y5",N,-
"00523",COM,INJ,"32CC","32CC",N,-
"00566",COM,INJ,"32W4","32W466",N,-
"00566",COM,INJ,"32W4","32W419",N,-
"00566",COM,INJ,"32W4","32W4M6",N,-
"00566",COM,INJ,"32W4","32W4B7",N,-
"00566",COM,INJ,"32W4","32W449",N,-
"00566",COM,INJ,"32W4","32W46",N,-
"00566",COM,INJ,"32W4","32W473",N,-
"00566",COM,INJ,"32W4","32W437",N,-
"00566",COM,INJ,"32W4","32W442",N,-
"00566",COM,INJ,"32W4","32W4G3",N,-
"00566",COM,INJ,"32W4","32W428",N,-
"00566",COM,INJ,"32W4","32W4M4",N,-
"00534",ICAM,INJ,"32M4","32M4",N,-
"00534",ICAM,INJ,"32DG","32DG",N,-
"00566",COM,INJ,"1200","1200",N,-
"00566",COM,INJ,"32W4","32W4M5",N,-
"00566",COM,INJ,"32W4","32W4L7",N,-
"00566",COM,INJ,"32W4","32W4O7",N,-
"00566",COM,INJ,"32W4","32W4A2",N,-
"00566",COM,INJ,"32W4","32W433",N,-
"00566",COM,INJ,"32W4","32W4P8",N,-
"00566",COM,INJ,"32W4","32W4D4",N,-
"00566",COM,INJ,"32W4","32W417",N,-
"00566",COM,INJ,"32W4","32W424",N,-
"00566",COM,INJ,"32W4","32W426",N,-
"00566",COM,INJ,"32W4","32W4P7",N,-
"00566",COM,INJ,"32W4","32W4G9",N,-
"00566",COM,INJ,"32W4","32W4K8",N,-
"00566",COM,INJ,"32W4","32W4E3",N,-
"00534",ICAM,INJ,"32M8","32M8",N,-
"00534",ICAM,INJ,"32M3","32M3",N,-
"00534",ICAM,INJ,"32CH","32CH",N,-
"00534",ICAM,INJ,"32D9","32D9",N,-
"00523",ICAM,INJ,"32W2","32W2",E,LMW
"00523",ICAM,INJ,"32W2","32W2",E,WMW
"00523",ICAM,INJ,"32N1","32N1",F,@FBF
"00523",ICAM,INJ,"32N3","32N3",N,-
"00523",ICAM,INJ,"32CJ","32CJ",F,@JQN
"00523",ICAM,INJ,"32AF","32AF",F,@JTB
