1,INJ,-,LOADING AT CK-1,DOMESTIC
3,INJ,-,LOADING AT CK-2,BONDED
3,INJ,@,LOADING AT ICAM,ICAM
2,INJ,-,LOADING AT CK-2,-
4,INJ,-,LOADING AT CK-2,BONDED
