BI00B1200    H322J50026     202209157298-4094-10             HOUSING FEMALE ASS'Y     CCN000006760000003380FN00000000020221001000003380NNEQ0020220901121518    4N0N  0000033800000109740000135871200    YCYC    005400370024
BI00B32AG    XG2211BNMW     202210077158-3167-80             WIRE SEAL                CCN000140000000140000FN00000000020221101000140000NNE   20220901145711    1C0C  00002000000000048000000109032AG    XGXGY   002700430014
BI00B32AG    XG2211BNMW     202210077158-3168-80             SEALED                   CCN000040000000040000FN00000000020221101000040000NNE   20220901145711    1C0C  00002000000000044000000092132AG    XGXGY   004300260014
BI00B32AG    XG2211BNMW     202210077158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020221101000040000NNE   20220901145711    1C0C  00004000000000156000000204132AG    XGXGY   004300260014
BI00B32AG    #XG2211BNMW    202210077123-6423-30             CONNECTOR                CCN000002000000002000FN00000000020221101000002000NNE   20220901145706    2F0F  00000200000001002000001167632AG    XGXGY   005600390023
BI00B32AG    XG2211CLMW     202210077116-4025                TERMINAL                 CCN000032000000032000FN00000000020221101000032000NNE   20220901145744    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG2211CLMW     202210077116-4026                TERMINAL                 CCN000048000000048000FN00000000020221101000048000NNE   20220901145744    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG2211CLMW     202210077172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020221101000003900NNE   20220901145744    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG2211CLMW     202210077289-4696-30             HOUSING FEMALE ASS'Y     CCN000014000000014000FN00000000020221101000014000NNE   20220901145744    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG2211CLMW     202210077289-7615-30             HOUSING FEMALE ASS'Y     CCN000004160000004160FN00000000020221101000004160NNE   20220901145744    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    #XG2211CLMW    202210077158-3003-90             RUBBER STOPPER           CCN000060000000060000FN00000000020221101000060000NNE   20220901145738    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG2211CLMW    202210077158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020221101000020000NNE   20220901145738    2C0C  00002000000000288000000343032AG    XGXGY   004300270014
BI00B32AG    #XG2211CLMW    202210077158-3120-90             CONNECTOR WIRE SEAL      CCN000080000000080000FN00000000020221101000080000NNE   20220901145738    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
