BI00B32CJ    JQN209C        202208267287-8642-40             HOUSING FEMALE ASS'Y     CCN000002800000002800FN00000000020220901000002800NNE   20220801145152    4N0N  00000280000000915600001107632CJ    QNYHVQN 005400370024
BI00B32CJ    JQN2105        202210077017-1180-02             TERMINAL                 CCN000144000000144000FN00000000020221001000144000NNM   20220801151332    4P0P  00007200000001065600001229032CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2103        202209237017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020221001000063000NNM   20220801151332    4P0P  00006300000001089900001266832CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2104        202209307017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020221001000063000NNM   20220801151332    4P0P  00006300000001089900001266832CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2101        202209097017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220801151332    4P0P  00004500000001165500001318632CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2102        202209167017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220801151332    4P0P  00004500000001165500001318632CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2103        202209237017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220801151332    4P0P  00004500000001165500001318632CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2104        202209307017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220801151332    4P0P  00004500000001165500001318632CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2105        202210077017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221001000045000NNM   20220801151332    4P0P  00004500000001165500001318632CJ    QNYHVQN 005100280028
BI00B32CJ    JQN2101        202209097017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000001139400001307432CJ    QNYHVQN 005100280028
