BI00B32H8    2211AKMW       20221007180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329002
BI00B32H8    2211AKMW       20221007180D0203940              AVSSH 0.5F W             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329008
BI00B32H8    2211AKMW       20221007180D0203950              AVSSH 0.5F R             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329007
BI00B32H8    2211AKMW       20221007180D0203952              AVSSH 0.5F P             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329006
BI00B32H8    2211AKMW       20221007180D0203960              AVSSH 0.5F G             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329003
BI00B32H8    2211AKMW       20221007180D0203961              AVSSH 0.5F LG            CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329005
BI00B32H8    2211AKMW       20221007180D0203970              AVSSH 0.5F Y             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329009
BI00B32H8    2211AKMW       20221007180D0203990              AVSSH 0.5F L             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000689000000000032H8    TYTYC   000000000000LN329004
BI00B32H8    2211AKMW       20221007180D0204170              AVSSH 1.25F Y            CCN000000800000000800FN00000000020221101000000800NNE   20220919103006    1W    00000080000001458000000000032H8    TYTYC   000000000000LN329011
BI00B32H8    2211AKMW       20221007180D0204190              AVSSH 1.25F L            CCN000000800000000800FN00000000020221101000000800NNE   20220919103006    1W    00000080000001458000000000032H8    TYTYC   000000000000LN329010
BI00B32H8    2211AKMW       2022100718007703940              AVSS 0.5F W              CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000674000000000032H8    TYTYC   000000000000LN329013
BI00B32H8    2211AKMW       2022100718007703961              AVSS 0.5F LG             CCN000001500000001500FN00000000020221101000001500NNE   20220919103006    1W    00000150000000674000000000032H8    TYTYC   000000000000LN329012
BI00B32H8    2211AKMW       2022100718007704050              AVSS 0.75F R             CCN000001000000001000FN00000000020221101000001000NNE   20220919103006    1W    00000100000000943000000000032H8    TYTYC   000000000000LN329014
BI00B32H8    @2211AKMW      20221007181E50010ZZ              AVSSCS-S 0.5FX2 DGY/P    CCN000000300000000300FN00000000020221101000000300NNE   20220919103005    1W    00000030000003096000000000032H8    TYTYC   000000000000LN329001
BI00B32N1    NST2123B       20221006180D0204130              AVSSH 1.25F B            CCN000001600000001600FN00000000020200901000001600NNE   20220919094528    1W    00000080000001458000000000032N1    TAYIPL  000000000000XP329004
BI00B32N1    NST2123B       20221006180D0203990              AVSSH 0.5F L             CCN000010500000010500FN00000000020200901000010500NNE   20220919094528    1W    00000150000000689000000000032N1    TAYIPL  000000000000XP329001
BI00B32N1    NST2123B       20221006180D0203952              AVSSH 0.5F P             CCN000009000000009000FN00000000020200901000009000NNE   20220919094528    1W    00000150000000689000000000032N1    TAYIPL  000000000000XP329002
BI00B32N1    NST2123B       20221006180D0203950              AVSSH 0.5F R             CCN000007500000007500FN00000000020200901000007500NNE   20220919094528    1W    00000150000000689000000000032N1    TAYIPL  000000000000XP329003
