BI00B32AG    XG23014CMW     202212237298-3822-70             HOUSING FEMALE ASS'Y     CCN000010080000010080FN00000000020230101000010080NNM00020220929120719    4N0N  00000252000000776200001077032AG    XGXGY   005500360039
BI00B32AG    XG23014CMW     202212237327-6832-60             MAIN FUSE                CCN000001800000001800FN00000000020230101000001800NNM00020220929120719    4N0N  00000060000000729200000930732AG    XGXGY   005400370024
BI00B32AG    XG23012CMW     202212097327-6908                MAIN FUSE                CCN000000600000000600FN00000000020230101000000600NNM   20220929120719    4N0N  00000060000000730400000915432AG    XGXGY   005400370024
BI00B32AG    XG23013CMW     202212167327-6908                MAIN FUSE                CCN000000600000000600FN00000000020230101000000600NNM   20220929120719    4N0N  00000060000000730400000915432AG    XGXGY   005400370024
BI00B32AG    XG23014CMW     202212237327-6908                MAIN FUSE                CCN000000600000000600FN00000000020230101000000600NNM00020220929120719    4N0N  00000060000000730400000915432AG    XGXGY   005400370024
BI00B32AG    #XG23014CMW    202212237198-1371-60             HOUSING FEMALE           CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    2F0F  00000200000000597800000721232AG    XGXGY   005400370024
BI00B32AG    #XG23014CMW    202212237198-1372                HOUSING FEMALE           CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    2F0F  00000200000000857200000982232AG    XGXGY   005400370024
BI00B32AG    #XG23014CMW    202212237198-1373-60             HOUSING FEMALE           CCN000004000000004000FN00000000020230101000004000NNM   20220929120719    2F0F  00000200000000819400000947432AG    XGXGY   005400370024
BI00B32AG    #XG23014CMW    202212237198-2458                HOUSING FEMALE           CCN000005280000005280FN00000000020230101000005280NNM   20220929120719    2F0F  00000176000000869100001160532AG    XGXGY   005400370024
BI00B32AG    #XG23014CMW    202212237298-2459-60             LIF FEMALE ASSEMBLY      CCN000005040000005040FN00000000020230101000005040NNM   20220929120719    2N0N  00000016800000534000000729632AG    XGXGY   005400370024
BI00B32AG    XG23011GMW     202212027327-6840-3W             BATTERY FUSE             CCN000001512000001512FN00000000020230101000001512NNM   20220929120719    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
BI00B32AG    XG23012GMW     202212097327-6840-3W             BATTERY FUSE             CCN000000576000000576FN00000000020230101000000576NNM   20220929120719    4N0N  00000007200001140900001355932AG    XGXGY   005500360039
