BI00B1200    Y022I50062     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151300    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    #2399T52808    202209157174-1515                FRONT DOOR COVER         CCN000008400000008400FN00000000020221001000008400NNM   20220725121513    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52806    202209017174-1760-50             CAP                      CCN000003000000003000FN00000000020221001000003000NNM   20220725121513    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    2399T52809     202209227116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220725121513    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52810     202209297116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220725121513    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52809     202209227158-3022-80             RUBBER STOPPER           CCN000105000000105000FN00000000020221001000105000NNM   20220725121513    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52810     202209297158-3022-80             RUBBER STOPPER           CCN000100000000100000FN00000000020221001000100000NNM   20220725121513    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52809     202209227172-5540-80             SEALED WIRE SEAL         CCN000140000000140000FN00000000020221001000140000NNM   20220725121513    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52810     202209297172-5540-80             SEALED WIRE SEAL         CCN000140000000140000FN00000000020221001000140000NNM   20220725121513    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    #2399T52809    202209227124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020221001000003000NNM   20220725121513    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52810    202209297124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020221001000003000NNM   20220725121513    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52809    202209227174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020221001000000320NNM   20220725121513    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52810    202209297174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020221001000000320NNM   20220725121513    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52809    202209227174-1315-30             SEALED COVER             CCN000009600000009600FN00000000020221001000009600NNM   20220725121513    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52810    202209297174-1315-30             SEALED COVER             CCN000009600000009600FN00000000020221001000009600NNM   20220725121513    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52809    202209227174-1515                FRONT DOOR COVER         CCN000008400000008400FN00000000020221001000008400NNM   20220725121513    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52810    202209297174-1515                FRONT DOOR COVER         CCN000007800000007800FN00000000020221001000007800NNM   20220725121513    2F0F  0000006000000049020000061021200    YCYC    005500360039
