BI00B32AF    JTB2094        202209027114-4020                TERMINAL                 CCN000084000000084000FN00000000020220901000084000NNM   20220704121957    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197114-4021                TERMINAL                 CCN000030000000030000FN00000000020220901000030000NNM   20220704121957    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-4021                TERMINAL                 CCN000015000000015000FN00000000020220901000015000NNM   20220704121957    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-4021                TERMINAL                 CCN000030000000030000FN00000000020220901000030000NNM   20220704121957    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197114-4030                TERMINAL                 CCN000010500000010500FN00000000020220901000010500NNM   20220704121957    4P0P  00001050000000926100001254732AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267114-4030                TERMINAL                 CCN000010500000010500FN00000000020220901000010500NNM   20220704121957    4P0P  00001050000000926100001254732AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117114-4031                TERMINAL                 CCN000010500000010500FN00000000020220901000010500NNM   20220704121957    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2092        202208197114-4031                TERMINAL                 CCN000042000000042000FN00000000020220901000042000NNM   20220704121957    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267114-4031                TERMINAL                 CCN000031500000031500FN00000000020220901000031500NNM   20220704121957    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2094        202209027114-4031                TERMINAL                 CCN000042000000042000FN00000000020220901000042000NNM   20220704121957    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117114-4032                TERMINAL                 CCN000022500000022500FN00000000020220901000022500NNM   20220704121957    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
